parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
93160,3-LAURYL/TRIDECYLGLYCERYL ASCORBATE,"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING",Humectant,,2,2,TRIDECYLGLYCERYL ASCORBATE,Molécule chimique,Moyenne (26-50),26,Humectant
54206,"4,4'-ISOPROPYLIDENEDIPHENOL/EPICHLOROHYDRIN COPOLYMER",FILM FORMING,Agent filmogène,25068-38-6,1,2,"4,4'-ISOPROPYLIDENEDIPHENOL",Molécule chimique,Moyenne (26-50),27,Filmogène
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",NAIL CONDITIONING,Soin ongles,,1,2,"4,4'-ISOPROPYLIDENEDIPHENYL",Molécule chimique,Moyenne (26-50),27,Soin ongles
93510,"4,4'-ISOPROPYLIDENEDIPHENYL/EPICHLOROHYDRIN COPOLYMER DIACRYLATE",NAIL CONDITIONING,Soin ongles,,2,2,EPICHLOROHYDRIN COPOLYMER DIACRYLATE,Polymère,Moyenne (26-50),36,Soin ongles
40280,"7-HYDROXY-3,7-DIMETHYL-OCTANAL/INDOLE",PERFUMING,Fragrance / Parfum,68908-82-7,1,2,"7-HYDROXY-3,7-DIMETHYL-OCTANAL",Molécule chimique,Moyenne (26-50),30,Fragrance / Parfum
83319,ABIES SACHALINENSIS BRANCH/LEAF WATER,MASKING,Autre,,1,2,ABIES SACHALINENSIS BRANCH,Molécule chimique,Moyenne (26-50),26,Autre
92949,ACACIA DECURRENS/JOJOBA/SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,3,SUNFLOWER SEED WAX POLYGLYCERYL-3 ESTERS,Cire,Moyenne (26-50),40,Émollient
84906,ACANTHOPANAX SESSILIFLORA BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,95370-68-6,1,3,ACANTHOPANAX SESSILIFLORA BARK,Botanique,Moyenne (26-50),30,Autre
92892,ACANTHOPANAX SESSILIFLORUS BARK/ROOT/STEM EXTRACT,SKIN CONDITIONING,Autre,,1,3,ACANTHOPANAX SESSILIFLORUS BARK,Botanique,Moyenne (26-50),31,Autre
84839,ACETOBACTER/ASPERGILLUS/LACTOBACILLUS/LEUCONOSTOC/PEDIOCOCCUS/SACCHAROMYCES/ZYGOSACCHAROMYCES/CITRUS UNSHIU FRUIT/CITRUS JAPONICA FRUIT/CITRUS JUNOS FRUIT/ APPLE FRUIT/BANANA FRUIT/PAPAYA FRUIT/ PYRUS SEROTINA FRUIT/ DIOSPYROS KAKI FRUIT/WATERMELON FRUIT/PEACH FRUIT/ PRUNUS MUME FRUIT/FIG FRUIT/CHAENOMELES SINENSIS FRUIT/ERIOBOTRYA JAPONICA FRUIT/APRICOT FRUIT/ ZIZYPHUS JUJUBA FRUIT/CUCURBITA MAXIMA FRUIT/CASTANEA CRENATA FRUIT/VITIS COIGNETIAE FRUIT/RASPBERRY FRUIT/MOMORDICA GROSVENORII FRUIT/LYCIUM CHINENSE FRUIT/GLYCINE MAX SEED/PHASEOLUS ANGULARIS SEED/CANAVALIA ENSIFORMIS SEED/RICE SEED/HORDEUM VULGARE SEED/COIX LACRYMA-JOBI MA-YUEN SEED/ECHINOCHLOA CRUS-GALLI SEED/SETARIA ITALICA SEED/MILLET SEED/HEMEROCALLIS FULVA FLOWER/CABBAGE LEAF/STEM/MORUS BOMBYCIS LEAF/PERILLA FRUTESCENS LEAF/IPOMOEA BATATAS ROOT/COLOCASIA ANTIQUORUM TUBER/DIOSCOREA BATATAS RHIZOME/IRIDEA LAMINARIOIDES/LAMINARIA JAPONICA/NEMACYSTUS DECIPIENS/UNDARIA PINNATIFIDA/RADISH ROOT/TURNIP ROOT/CARROT ROOT/ARCTIUM LAPPA ROOT/NELUMBO NUCIFERA RHIZOME/ONION BULB/LILIUM AURATUM BULB/LICORICE ROOT/SAGITTARIA TRIFOLIA ROOT/SESAME SEED/GINKGO BILOBA SEED/JUGLANS SUBCORDIFORMIS FRUIT/PANAX GINSENG SEED/ACTINIDIA POLYGAMA FRUIT/HYDNUM ERINACEUM FRUITING BODY/GRIFOLA FRONDOSA FRUITING BODY/PRUNUS SALICINA FRUIT/AKEBIA QUINATA FRUIT/CRATAEGUS CUNEATA FRUIT/CORNUS OFFICINALIS FRUIT/NEPHELIUM LONGANA FRUIT/HOUTTUYNIA CORDATA/ARTEMISIA PRINCEPS/SASA VEITCHII LEAF/GLECHOMA HEDERACEA/CHAMOMILLA RECUTITA FLOWER/EQUISETUM ARVENSE/CASSIA OBTUSIFOLIA SEED/TARAXACUM OFFICINALE/ISODON JAPONICUS/SAFFLOWER FLOWER/PLANTAGO ASIATICA/SMALLANTHUS SONCHIFOLIUS ROOT/GARLIC BULB/GINGER RHIZOME/BEET RHIZOME/POLYGONUM ODORATUM RHIZOME/TURMERIC RHIZOME/ACANTHOPANAX SIEBOLDIANUS ROOT/PINUS KORAIENSIS SEED/LENTINUS EDODES FRUITING BODY/AURICULARIA AURICULA/VITIS LABRUSCA FRUIT/HELIANTHUS TUBEROSUS TUBER FERMENT EXTRACT,SKIN CONDITIONING,Autre,,20,94,CHAENOMELES SINENSIS FRUIT,Botanique,Moyenne (26-50),26,Autre
