ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
60119,TEA-C12-13 PARETH-3 SULFATE,,,,,"Alcohols, C12-13, ethoxylated, sulfated, triethanolamine salt (6 mol EO average molar ratio)",III/62,"EMULSIFYING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Moyenne (26-50),27,2,1,Non
60120,TEA-C12-14 ALKYL PHOSPHATE,,,,,TEA-C12-14 Alkyl Phosphate is the triethanolamine salt of a complex mixture of esters of phosphoric acid and a synthetic fatty alcohol containing 12-14 carbons in the alkyl chain,III/62,"CLEANSING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Moyenne (26-50),26,2,1,Non
38486,TEA-C12-14 ALKYL SULFATE,,,90583-18-9,292-216-9,"Sulfuric acid, mono-C12-14-alkyl esters, compounds, with triethanolamine",III/62,"CLEANSING, FOAMING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),24,3,1,Non
38487,TEA-C12-15 ALKYL SULFATE,,,68815-25-8,272-364-0,"Sulfuric acid, mono-C12-15-alkyl esters, compds. with triethanolamine",III/62,"CLEANSING, FOAMING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),24,3,1,Non
90111,TEA-C8-10 ALKYL PHOSPHATE,,,,,TEA-C8-10 Alkyl Phosphate is the triethanolamine salt of a complex mixture of esters of phosphoric acid and a synthetic fatty alcohol containing 8 to 10 carbons in the alkyl chain.,,"CLEANSING, SURFACTANT",02/04/2014,Tensioactif,Molécule chimique,Courte (16-25),25,2,1,Non
82544,TEA-C8-18 PERFLUOROALKYLETHYL PHOSPHATE,,,,,TEA-C8-18 Perfluoroalkylethyl Phosphate is the triethanolamine salt of a complex mixture of esters of phosphoric acid and a perfluoroalkylethyl alcohol containining 8 to 18 carbons in the alkyl chain,III/62,"HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",24/01/2011,Tensioactif,Molécule chimique,Moyenne (26-50),39,3,1,Non
80626,TEA-CANOLATE,,,,,"Fatty acids, canola-oil, compounds with triethanolamine",III/62,"CLEANSING, EMULSIFYING, FOAMING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Très courte (≤15),12,4,1,Non
60121,TEA-COCAMIDE DIACETATE,,,,,N-(Carboxymethyl)-N-Cocyl Glycine Triethanalomine Salt,III/62,"CHELATING, CLEANSING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),22,3,1,Non
80629,TEA-COCO-SULFATE,,,,,"Sulfuric acid, monococo alkyl esters, compounds with triethanolamine",III/62,"CLEANSING, FOAMING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),16,3,1,Non
38490,TEA-COCOATE,,,61790-64-5,263-155-5,"Fatty acids, coco, compds. with triethanolamine",III/62,"CLEANSING, EMULSIFYING, FOAMING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Très courte (≤15),11,4,1,Non
60122,TEA-COCOYL ALANINATE,,,,,"L-Alanine, N-coco acyl derivs., compds. with triethanolamine (1:1)",III/62,"CLEANSING, HAIR CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),20,3,1,Non
38492,TEA-COCOYL GLUTAMATE,,,68187-29-1,269-084-6,"L-Glutamic acid, N-coco acyl derivs., compds. with triethanolamine (1:1)",III/62,"CLEANSING, HAIR CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,Molécule chimique,Courte (16-25),20,3,1,Non
