ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
87404,SODIUM ACRYLOYLDIMETHYLTAURATE/VP CROSSPOLYMER,,,,,"Sodium Acryloyldimethyltaurate/VP Crosspolymer is a copolymer of sodium acryloyldimethyltaurate and vinylpyrrolidone crosslinked by 1,1,1-trimethylolpropane triacrylate",,EMULSION STABILISING,15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),46,1,2,Oui
86398,SODIUM BIS-HYDROXYETHYLGLYCINATE COCO-GLUCOSIDES CROSSPOLYMER,,,,,"Sodium Bis-Hydroxyethylglycinate Coco-Glucosides Crosspolymer is the crosslinked polymer formed by the reaction of Coco-Glucoside with 1,3-dichloro-2-propanol, then reacted with 1-(bis(2-hydroxyethyl)amino)-3-chloro-2-propanol and sodium monochloroacetate",,"CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),61,4,1,Non
86399,SODIUM BIS-HYDROXYETHYLGLYCINATE LAURYL-GLUCOSIDES CROSSPOLYMER,,,,,"Sodium Bis-Hydroxyethylglycinate Lauryl-Glucosides Crosspolymer is the crosslinked polymer formed by the reaction of Lauryl Glucoside with 1,3-dichloro-2-propanol, then reacted with 1-(bis(2- hydroxyethyl)amino)-3-chloro-2-propanol and sodium monochloroacetate",,"CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),63,4,1,Non
58726,SODIUM BUTYL ESTER OF PVM/MA COPOLYMER,,,,,"2-Butenedioic acid (Z)-, polymer with methoxyethene, monobutyl ester, monosodium salt",,"BINDING, FILM FORMING, HAIR FIXING",15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),38,3,2,Oui
79176,SODIUM C4-12 OLEFIN/MALEIC ACID COPOLYMER,,,,,"Alkenes, C4-12, polymer with 2-(Z)-butenedioic acid, sodium salts",,"BINDING, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING",15/10/2010,Émulsifiant,Polymère,Moyenne (26-50),41,4,2,Oui
79474,SODIUM DVB/ACRYLATES COPOLYMER,,,,,"Sodium salt of a polymer of divinyl benzene and one or more monomers consisting of acrylic acid, methacrylic acid or their simple esters",,FILM FORMING,15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),30,1,2,Oui
59077,SODIUM ETHYL ESTER OF PVM/MA COPOLYMER,,,,,Sodium salt of Ethyl Ester of PVM/MA Copolymer,,"BINDING, FILM FORMING, HAIR FIXING",15/10/2010,Agent filmogène,Polymère,Moyenne (26-50),38,3,2,Oui
79557,SODIUM HYALURONATE CROSSPOLYMER,,,105524-32-1,,"Hyaluronic acid, sodium salt, polymer with 1,1'-sulfonylbis[ethene]",,"HUMECTANT, SKIN CONDITIONING",15/10/2010,Humectant,Polymère,Moyenne (26-50),31,2,1,Non
86959,SODIUM HYALURONATE CROSSPOLYMER-2,,,,,Sodium Hyaluronate Crosspolymer-2 is a polymer of Hyaluronic Acid crosslinked with diglycidyl ether,,HUMECTANT,15/10/2010,Humectant,Polymère,Moyenne (26-50),33,1,1,Non
82224,SODIUM HYDROXYPROPYLPHOSPHATE DECYLGLUCOSIDE CROSSPOLYMER,,,,,"Sodium Hydroxypropylphosphate Decylglucoside Crosspolymer is the crosslinked polymer formed by the reaction of decylglucoside with 1,3-dichloro-2-propanol, followed by reaction with bis(3-chloro-2-hydroxypropyl)phosphate",,"CLEANSING, EMULSIFYING, FOAM BOOSTING, HYDROTROPE, SURFACTANT",15/10/2010,Tensioactif,Polymère,Longue (51-100),57,5,1,Non
