parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
85606,BIFIDA/ANGELICA GIGAS/ANGELICA TENUISSIMA ROOT/ANTLER VELVET/REHMANNIA GLUTINOSA ROOT/ATRACTYLOIDES JAPONICA RHIZOME/CNIDIUM OFFICINALE ROOT/CORDYCEPS SINENSIS/LEDEBOURIELLA SESELOIDES ROOT/LICORICE ROOT/PAEONIA LACTIFLORA ROOT/PANAX GINSENG ROOT/PHELLINUS LINTEUS/SCUTELLARIA BAICALENSIS ROOT FERMENT EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,4,14,ANTLER VELVET,Molécule chimique,Très courte (≤15),13,Autre
85606,BIFIDA/ANGELICA GIGAS/ANGELICA TENUISSIMA ROOT/ANTLER VELVET/REHMANNIA GLUTINOSA ROOT/ATRACTYLOIDES JAPONICA RHIZOME/CNIDIUM OFFICINALE ROOT/CORDYCEPS SINENSIS/LEDEBOURIELLA SESELOIDES ROOT/LICORICE ROOT/PAEONIA LACTIFLORA ROOT/PANAX GINSENG ROOT/PHELLINUS LINTEUS/SCUTELLARIA BAICALENSIS ROOT FERMENT EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,6,14,ATRACTYLOIDES JAPONICA RHIZOME,Molécule chimique,Moyenne (26-50),30,Autre
85606,BIFIDA/ANGELICA GIGAS/ANGELICA TENUISSIMA ROOT/ANTLER VELVET/REHMANNIA GLUTINOSA ROOT/ATRACTYLOIDES JAPONICA RHIZOME/CNIDIUM OFFICINALE ROOT/CORDYCEPS SINENSIS/LEDEBOURIELLA SESELOIDES ROOT/LICORICE ROOT/PAEONIA LACTIFLORA ROOT/PANAX GINSENG ROOT/PHELLINUS LINTEUS/SCUTELLARIA BAICALENSIS ROOT FERMENT EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,8,14,CORDYCEPS SINENSIS,Molécule chimique,Courte (16-25),18,Autre
85606,BIFIDA/ANGELICA GIGAS/ANGELICA TENUISSIMA ROOT/ANTLER VELVET/REHMANNIA GLUTINOSA ROOT/ATRACTYLOIDES JAPONICA RHIZOME/CNIDIUM OFFICINALE ROOT/CORDYCEPS SINENSIS/LEDEBOURIELLA SESELOIDES ROOT/LICORICE ROOT/PAEONIA LACTIFLORA ROOT/PANAX GINSENG ROOT/PHELLINUS LINTEUS/SCUTELLARIA BAICALENSIS ROOT FERMENT EXTRACT,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,13,14,PHELLINUS LINTEUS,Molécule chimique,Courte (16-25),17,Autre
86083,BIFIDA/CORNUS OFFICINALIS FRUIT/ANGELICA ACUTILOBA ROOT/DEER ANTLER/THYMUS VULGARIS LEAF FERMENT FILTRATE,SKIN CONDITIONING,Autre,,1,5,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
86083,BIFIDA/CORNUS OFFICINALIS FRUIT/ANGELICA ACUTILOBA ROOT/DEER ANTLER/THYMUS VULGARIS LEAF FERMENT FILTRATE,SKIN CONDITIONING,Autre,,4,5,DEER ANTLER,Molécule chimique,Très courte (≤15),11,Autre
86081,BIFIDA/DEER ANTLER FERMENT FILTRATE,SKIN CONDITIONING,Autre,,1,2,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
86081,BIFIDA/DEER ANTLER FERMENT FILTRATE,SKIN CONDITIONING,Autre,,2,2,DEER ANTLER FERMENT FILTRATE,Molécule chimique,Moyenne (26-50),28,Autre
89131,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,Autre,,1,5,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
89131,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,Autre,,2,5,ENTEROCOCCUS FAECIUM,Molécule chimique,Courte (16-25),20,Autre
89131,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,Autre,,3,5,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Autre
89131,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,Autre,,4,5,STREPTOCOCCUS THERMOPHILUS,Molécule chimique,Moyenne (26-50),26,Autre
89131,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT CURD,,Autre,,5,5,SOYMILK FERMENT CURD,Molécule chimique,Courte (16-25),20,Autre
89130,BIFIDA/ENTEROCOCCUS FAECIUM/LACTOBACILLUS/STREPTOCOCCUS THERMOPHILUS/SOYMILK FERMENT EXTRACT,,Autre,,1,5,BIFIDA,Molécule chimique,Très courte (≤15),6,Autre
