parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89961,HYDROXY/METHOXY SOYBEAN OIL,"HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,2,2,METHOXY SOYBEAN OIL,Huile,Courte (16-25),19,Soin capillaire
82211,ILLICIUM VERUM FRUIT/SEED OIL,"MASKING, ORAL CARE, TONIC",Soin oral,8007-70-3/84650-59-9,2,2,SEED OIL,Huile,Très courte (≤15),8,Soin oral
93488,JOJOBA OIL/CAPRYLIC/CAPRIC TRIGLYCERIDE ESTERS,"SKIN CONDITIONING, SKIN PROTECTING",Autre,,1,3,JOJOBA OIL,Huile,Très courte (≤15),10,Autre
89496,JOJOBA OIL/MACADAMIA SEED OIL ESTERS,"HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Soin capillaire,,1,2,JOJOBA OIL,Huile,Très courte (≤15),10,Soin capillaire
89496,JOJOBA OIL/MACADAMIA SEED OIL ESTERS,"HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",Soin capillaire,,2,2,MACADAMIA SEED OIL ESTERS,Huile,Courte (16-25),25,Soin capillaire
88788,JOJOBA OIL/MACADAMIA SEED OIL PHYTOSTERYL ESTERS,,Autre,,1,2,JOJOBA OIL,Huile,Très courte (≤15),10,Autre
88788,JOJOBA OIL/MACADAMIA SEED OIL PHYTOSTERYL ESTERS,,Autre,,2,2,MACADAMIA SEED OIL PHYTOSTERYL ESTERS,Huile,Moyenne (26-50),37,Autre
84385,JUNIPERUS SCOPULORUM LEAF/STEM OIL,"MASKING, TONIC",Autre,,2,2,STEM OIL,Huile,Très courte (≤15),8,Autre
85546,KIWI SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,1,2,KIWI SEED OIL,Huile,Très courte (≤15),13,Autre
85546,KIWI SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS,SKIN CONDITIONING,Autre,,2,2,PALM OIL AMINOPROPANEDIOL ESTERS,Huile,Moyenne (26-50),32,Autre
92096,KLUYVEROMYCES/LACTOBACILLUS/ABIES GRANDIS LEAF OIL FERMENT FILTRATE,"ANTIMICROBIAL, ANTIOXIDANT, BLEACHING, HAIR CONDITIONING, SKIN CONDITIONING",Conservateur,,3,3,ABIES GRANDIS LEAF OIL FERMENT FILTRATE,Huile,Moyenne (26-50),39,Conservateur
90491,KLUYVEROMYCES/LACTOBACILLUS/ACANTHOPANAX KOREANUM BARK/STEM OIL FERMENT FILTRATE,"ANTIOXIDANT, ASTRINGENT, SKIN CONDITIONING, SKIN PROTECTING",Antioxydant,,4,4,STEM OIL FERMENT FILTRATE,Huile,Courte (16-25),25,Antioxydant
