ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
54269,ACRYLATES/BIS-HYDROXYPROPYL DIMETHICONE CROSSPOLYMER,,,,,"Crosslinked polymer of bis-hydroxypropyl dimethicone and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR FIXING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),52,2,2,Oui
54270,ACRYLATES/C1-2 SUCCINATES/HYDROXYACRYLATES COPOLYMER,,,,,"Copolymer formed from C1-2 esters of butanedioic acid, hydroxyalkyl 2-propenoate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,HAIR FIXING,15/10/2010,Soin capillaire,Polymère,Longue (51-100),52,1,3,Oui
88166,ACRYLATES/C12-13 ALKYL METHACRYLATES/METHOXYETHYL ACRYLATE CROSSPOLYMER,,,,,"Acrylates/C12-13 Alkyl Methacrylates/Methoxyethyl Acrylate Crosspolymer is a copolymer of C12-13 alkyl methacrylates, methoxyethyl acrylate, and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters, crosslinked with vinyloxazoline.",,HAIR FIXING,19/12/2011,Soin capillaire,Polymère,Longue (51-100),71,1,3,Oui
74163,ACRYLATES/CARBAMATE COPOLYMER,,,,,"Acrylates/Carbamate Copolymer is a copolymer of carbamate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Polymère,Moyenne (26-50),29,2,2,Oui
90634,ACRYLATES/CETEARETH-25 METHACRYLATE/METHACRYLAMIDE CROSSPOLYMER,,,,,"Acrylates/Ceteareth-25 Methacrylate/Methacrylamide Crosspolymer is a copolymer of ceteareth-25 methacrylate, methacrylamide, and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters, crosslinked with pentaerythritol triallyl ether.",,HAIR FIXING,29/04/2013,Soin capillaire,Polymère,Longue (51-100),63,1,3,Oui
85196,ACRYLATES/ETHYLAMINE OXIDE METHACRYLATE COPOLYMER,,,,,"Acrylates/Ethylamine Oxide Methacrylate Copolymer is a copolymer of ethylamine oxide methacrylate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters",,HAIR FIXING,15/10/2010,Soin capillaire,Polymère,Moyenne (26-50),49,1,2,Oui
54366,ACRYLATES/ETHYLHEXYL ACRYLATE/DIMETHICONE METHACRYLATE COPOLYMER,,,,,"Copolymer of ethylhexyl acrylate, dimethicone methacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),64,2,3,Oui
90961,ACRYLATES/METHOXY PEG-4 METHACRYLATE COPOLYMER,,,,,"Acrylates/Methoxy PEG-4 Methacrylate Copolymer is a copolymer of methoxy PEG-4 methacrylate and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters.",,HAIR CONDITIONING,29/04/2013,Soin capillaire,Polymère,Moyenne (26-50),46,1,2,Oui
54376,ACRYLATES/OCTYLACRYLAMIDE/DIPHENYL AMODIMETHICONE COPOLYMER,,,,,"Copolymer formed from octylacrylamide, diphenyl amodimethicone and one or more monomers of acrylic acid, methacrylic acid or one of their simple esters",,"HAIR CONDITIONING, HAIR FIXING",15/10/2010,Soin capillaire,Silicone,Longue (51-100),59,2,3,Oui
54399,ACTINIDIA CHINENSIS FRUIT,,,92456-63-8,296-241-6,"Actinidia Chinensis Fruit is the plant material derived from the fruit of the kiwi, Actinidia chinensis, Actinidiaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Botanique,Courte (16-25),25,2,1,Non
54415,ADIANTUM CAPILLUS VENERIS LEAF EXTRACT,,,84649-72-9,283-457-0,"Adiantum Capillus Veneris leaf Extract is an extract of the leaves of the Maiden Hair Fern, Adiantum capillus veneris L., Polypodiaceae",,"ANTIDANDRUFF, ASTRINGENT, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),38,4,1,Non
54416,ADIANTUM PEDATUM,,,,,"Adiantum Pedatum is the herb obtained from the whole dried plant, Adiantum pedatum L., Polypodiaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),16,2,1,Non
31374,ADIANTUM PEDATUM EXTRACT,,,165800-54-4,,"Adiantum Pedatum Extract is an extract of the leaves of the fern, Adiantum pedatum L., Polypodiaceae",,"ANTIDANDRUFF, ASTRINGENT",15/10/2010,Soin capillaire,Extrait,Courte (16-25),24,2,1,Non
83317,ADONIS PALAESTINA FLOWER EXTRACT,,,,,"Adonis Palaestina Flower Extract is the extract of the flowers of Adonis palestina, Ranunculaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),32,2,1,Non
31395,ALANINE,alanine,alaninum,302-72-7/56-41-7,206-126-4/200-273-8,Alanine,,"ANTISTATIC, HAIR CONDITIONING, MASKING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Très courte (≤15),7,4,1,Non
85339,ALARIA ESCULENTA EXTRACT,,,,,"Alaria Esculenta Extract is the extract of the alga, Alaria esculenta",,"HAIR CONDITIONING, SKIN PROTECTING",15/10/2010,Soin capillaire,Extrait,Courte (16-25),24,2,1,Non
93079,ALIBERTIA PATINOI FRUIT EXTRACT,,,,,"Alibertia Patinoi Fruit Extract is the extract of the fruit of Alibertia patinoi, Rubiaceae.",,"HAIR CONDITIONING, SKIN CONDITIONING",10/08/2015,Soin capillaire,Extrait,Moyenne (26-50),31,2,1,Non
74183,ALLANTOIN ACETYL METHIONINE,,,4207-40-3,224-126-2,"N-acetyl-DL-methionine, compound with (2,5-dioxo-4-imidazolidine)urea (1:1)",,"ANTISTATIC, SKIN CONDITIONING, SKIN PROTECTING, SOOTHING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),27,4,1,Non
74258,ALMONDAMIDOPROPALKONIUM CHLORIDE,,,124046-03-3,,Almond alkyl amidopropyl dimethyl benzyl ammonium chloride,,"ANTISTATIC, HAIR CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),32,2,1,Non
31429,ALMONDAMIDOPROPYL DIMETHYLAMINE,,,165586-99-2,,"Amides, almond, N-[3-(dimethylamino)-propyl]-",,ANTISTATIC,15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),31,1,1,Non
90529,ALTERNANTHERA SESSILIS OIL,,,,,"Alternanthera Sessilis Oil is the volatile oil obtained from the whole plant, Alternanthera sessilis, Amaranthacea.",,HAIR CONDITIONING,29/04/2013,Soin capillaire,Huile,Moyenne (26-50),26,1,1,Non
31450,ALUMINUM CAPRYLOYL HYDROLYZED COLLAGEN,,,165800-56-6,,"Hydrolyzed collagen, product with caprylic acid, aluminum salt",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),38,3,1,Non
31814,ALUMINUM UNDECYLENOYL COLLAGEN AMINO ACIDS,,,162260-09-5,500-680-3,"Collagens, hydrolyzates, reaction products with undecenoyl chloride, aluminum salts",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Acide,Moyenne (26-50),42,3,1,Non
54329,AMBER EXTRACT,,,,,"Amber Extract is an extract of the fossilized resin obtained from the tree, Pinus succinifera",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Très courte (≤15),13,2,1,Non
83665,AMIDINOCYSTEINE,,,40454-21-5,254-925-1,2-Guanidino-3-mercaptopropionic acid,,HAIR WAVING OR STRAIGHTENING,15/10/2010,Soin capillaire,Molécule chimique,Très courte (≤15),15,1,1,Non
31828,AMINOBUTYRIC ACID,,,56-12-2,200-258-6,4-Aminobutyric acid,,HAIR CONDITIONING,15/10/2010,Soin capillaire,Acide,Courte (16-25),17,1,1,Non
89502,AMINOLEVULINOYL TRIPEPTIDE-35,,,,,Aminolevulinoyl Tripeptide-35 is the product obtained by the reaction of aminolevulinic acid and Tripeptide-35,,"BLEACHING, HAIR CONDITIONING, SKIN PROTECTING",18/12/2012,Soin capillaire,Peptide,Moyenne (26-50),29,3,1,Non
54584,AMINOPROPYL DIMETHICONE,,,99363-37-8,,"Silicones and siloxanes, dimethyl, 3-aminopropyl methyl, trimethylsilyl terminated",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Courte (16-25),23,1,1,Non
83901,AMINOPROPYL MENTHYL PHOSPHATE,,,,,,,"ANTIDANDRUFF, ANTISEBORRHOEIC, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),29,3,1,Non
54586,AMINOPROPYL PHENYL TRIMETHICONE,,,,,"Silicones and siloxanes, trimethylsilyloxy phenyl, 3-aminopropyl trimethylsilyloxy, trimethylsilyl terminated",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),31,2,1,Non
54594,AMMONIUM BETA-SITOSTERYL SULFATE,,,,,Ammonium beta-sitosteryl Sul fate is the ammonium salt of sulfated beta-sitosterol,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),32,2,1,Non
74387,AMMONIUM CASEINATE,,,9005-42-9,,"Casein, ammonium salt",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),18,3,1,Non
31869,AMMONIUM HYDROLYZED COLLAGEN,,,222400-34-2,,"Collagen, hydrolyzates, ammonium salts",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),28,3,1,Non
31902,AMMONIUM THIOGLYCOLATE,,,5421-46-5,226-540-9,Ammonium mercaptoacetate,III/2a,"DEPILATORY, HAIR WAVING OR STRAIGHTENING, REDUCING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),22,3,1,Non
74430,AMMONIUM THIOLACTATE,,,13419-67-5,236-526-4,Ammonium 2-mercaptopropionate,,"DEPILATORY, HAIR WAVING OR STRAIGHTENING, REDUCING",15/10/2010,Soin capillaire,Molécule chimique,Courte (16-25),20,3,1,Non
31907,AMODIMETHICONE,,,71750-80-6,,"Dimethylsiloxane, polymer, (((3-((2-aminoethyl)amino)propyl)-dimethoxysilyl)oxy)-terminated",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010,Soin capillaire,Silicone,Très courte (≤15),14,2,1,Non
74435,AMODIMETHICONE HYDROXYSTEARATE,,,299186-05-3,,"Siloxanes and silicones, 3-[(2-aminoethyl)amino]propyl methyl, dimethyl, hydroxy terminated, 12-hydroxyoctandecanoate (salt)",,HAIR CONDITIONING,15/10/2010,Soin capillaire,Silicone,Moyenne (26-50),30,1,1,Non
90195,AMODIMETHICONE/MORPHOLINOMETHYL SILSESQUIOXANE COPOLYMER,,,1293390-78-9,,"Siloxanes and Silicones, 3-[(2-aminoethyl)amino]propyl Me, di-Me, polymers with 4-morpholinylmethyl silsesquioxanes, hydroxy-terminated",,HAIR CONDITIONING,30/04/2013,Soin capillaire,Silicone,Longue (51-100),56,1,2,Oui
54613,AMP-ACRYLATES/C1-18 ALKYL ACRYLATE/C1-8 ALKYL ACRYLAMIDE/HYDROXYETHYLACRYLATE COPOLYMER,,,,,"AMP-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide/Hydroxyethylacrylate Copolymer is a polymer of C1-18 alkyl acrylate or C1-18 alkyl methacrylate, C1-8 alkyl acrylamide, hydroxyethylacrylate, and the aminomethylpropanol salt of a monomer consisting of acrylic acid, methacrylic acid or one of their simple esters",III/61,HAIR WAVING OR STRAIGHTENING,15/10/2010,Soin capillaire,Polymère,Longue (51-100),87,1,4,Oui
85680,AMP-ISOSTEAROYL HYDROLYZED CORN PROTEIN,,,,,AMP-Isostearoyl Hydrolyzed Corn Protein is the aminomethyl propanol salt of the condensation product of isostearic acid chloride with Hydrolyzed Corn Protein,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),39,2,1,Non
54618,AMP-ISOSTEAROYL HYDROLYZED ELASTIN,,,,,"Elastin, hydrolyzates, isostearoyl, compounds with 2-amino-2-methyl-1-propanol",III/61,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),34,2,1,Non
54620,AMP-ISOSTEAROYL HYDROLYZED SILK,,,,,Amp-Isostearoyl Hydrolyzed Silk is the aminomethylpropanol salt of the condensation product of isostearic acid chloride with Hydrolyzed Silk,III/61,"HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Molécule chimique,Moyenne (26-50),31,3,1,Non
82755,ANETHOLEA ANISATA LEAF EXTRACT,,,,,Anetholea Anisata Leaf Extract is the extract of the leaves of Anetholea anisata,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Extrait,Moyenne (26-50),30,2,1,Non
