ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
87995,CHRYSANTHEMUM ZAWADSKII WATER,,,,,"Chrysanthemum Zawadskii Water is the aqueous solution of the steam distillates obtained from the whole plant of the siberian, Chrysanthemum zawadskii, Asteraceae",,MASKING,01/12/2011,Autre,Eau / Hydrolat,Moyenne (26-50),29,1,1,Non
55281,CHRYSIN,,,480-40-0,207-549-7,"5,7-Dihydroxy-2-phenyl-4H-benzo[b]pyran-4-one",,SKIN CONDITIONING,15/10/2010,Autre,Molécule chimique,Très courte (≤15),7,1,1,Non
82626,CHRYSOCOLLA,,,,,Chrysocolla is an amorphous mineral consisting chiefly of hydrous copper silicate,,SKIN CONDITIONING,15/10/2010,Autre,Molécule chimique,Très courte (≤15),11,1,1,Non
86241,CHRYSOPHYLLUM CAINITO FRUIT EXTRACT,,,,,"Chrysophyllum Cainito Fruit Extract is the extract of the fruit of Chrysophyllum cainito L., Sapotaceae",,HUMECTANT,15/10/2010,Humectant,Extrait,Moyenne (26-50),35,1,1,Non
91738,CHYMOTRYPSIN,,,9004-07-3,232-671-2(I),"Chymotrypsin A,Chymotrypsin B",,SKIN CONDITIONING,28/08/2014,Autre,Molécule chimique,Très courte (≤15),12,1,1,Non
32694,CI 10006,,,16143-80-9,240-299-7,"Sodium tris(1,2-naphthoquinone 1-oximato-O,O')ferrate(1-)",IV/1,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32695,CI 10020,,,19381-50-1,243-010-2,"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)",IV/2,COSMETIC COLORANT,20/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32696,CI 10316,,,846-70-8/84473-89-2/55482-31-0/549-34-8/68698-86-2,212-690-2/282-945-0/259-662-6/-/-,"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate",IV/3,COSMETIC COLORANT,17/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32697,CI 11680,,,2512-29-0,219-730-8,2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide,IV/4,COSMETIC COLORANT,17/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32698,CI 11710,,,6486-23-3,229-355-1,2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide,IV/5,COSMETIC COLORANT,22/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32699,CI 11725,,,6371-96-6,228-901-6,2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide,IV/6,COSMETIC COLORANT,11/09/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32700,CI 11920,,,2051-85-6,218-131-9,4-(Phenylazo)resorcinol,IV/7,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32701,CI 12010,,,6535-42-8,229-439-8,4-[(4-Ethoxyphenyl)azo]naphthol,IV/8,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32702,CI 12085,,,2814-77-9,220-562-2,1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol,IV/9,COSMETIC COLORANT,17/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32703,CI 12120,,,2425-85-6,219-372-2,1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,IV/10,COSMETIC COLORANT,09/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32704,CI 12370,,,6535-46-2,229-440-3,"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide",IV/11,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32705,CI 12420,,,6471-51-8,229-315-3,N-(4-Chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide,IV/12,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32706,CI 12480,,,6410-40-8,229-106-7,"4-[(2,5-Dichlorophenyl)azo]-N-(2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide",IV/13,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32707,CI 12490,,,6410-41-9,229-107-2,"N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sulphonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carboxamide",IV/14,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32708,CI 12700,,,4314-14-1,224-330-1,"2,4-Dihydro-5-methyl-2-phenyl-4-(phenylazo)-3H-pyrazol-3-one",IV/15,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32709,CI 13015,,,2706-28-7,220-293-0,Disodium 2-amino-5-[(4-sulphonatophenyl)azo]benzenesulphonate,IV/16,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32710,CI 14270,,,547-57-9,208-924-8,"Sodium 4-(2,4-dihydroxyphenylazo)benzenesulphonate",IV/17,COSMETIC COLORANT,15/10/2010,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
32711,CI 14700,,,4548-53-2,224-909-9,"Disodium 3-[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate",IV/18,COSMETIC COLORANT,20/07/2015,Colorant,Molécule chimique,Très courte (≤15),8,1,1,Non
