ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
90707,BACILLUS/ROOT/PORIA COCOS FERMENT FILTRATE,,,,,"Bacillus/(Asparagus Cochinchinensis/Lycium Chinense/Ophiopogon Japonicus/Panax Ginseng/Rehmannia Glutinosa) Root/Poria Cocos Ferment Filtrate is a filtrate of the product obtained by the fermentation of the roots of Asparagus cochinchinensis, Lycium chinense, Ophiopogon japonicus, Panax ginseng, Rehmannia glutinosa , and the fungus, Poria cocos by the microorganisum, Bacillus.",,SKIN CONDITIONING,22/05/2014,Autre,Botanique,Moyenne (26-50),42,1,3,Oui
88382,BACILLUS/ROSE FLOWER/SOYBEAN FERMENT FILTRATE,,,,,"Bacillus/Rose Flower/Soybean Ferment Filtrate is filtrate of the product obtained by the fermentation of the flowers of Rosa spp and Glycine max by the microorganism, Bacillus subtilis",,"ANTIOXIDANT, EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING",30/11/2011,Émollient / Conditioning,Botanique,Moyenne (26-50),45,4,3,Oui
91214,BACILLUS/TAGETES PATULA FLOWER/SOYBEAN FERMENT FILTRATE,,,,,"Bacillus/Tagetes Patula Flower/Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of Glycine max (soybean) and the flowers of Tagetes patula by the microorganism, Bacillus.",,"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING",28/07/2014,Antioxydant,Botanique,Longue (51-100),55,3,3,Oui
89270,BACILLUS/TURMERIC ROOT/SOYBEAN FERMENT FILTRATE,,,,,"Bacillus/Turmeric Root/Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of Glycine max (soybean) and Curcuma Longa (Turmeric) Root by the microorganism, Bacillus.",,"ANTIOXIDANT, EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",08/10/2012,Émollient / Conditioning,Botanique,Moyenne (26-50),47,4,3,Oui
92187,BACILLUS/VIGNA ANGULARIS SEED FERMENT FILTRATE,,,,,"Bacillus/Vigna Angularis Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Vigna angularis , by the microorganism Bacillus",,"EMOLLIENT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",28/07/2014,Humectant,Botanique,Moyenne (26-50),46,4,2,Oui
54799,BACOPA MONNIERA LEAF POWDER,,,93164-89-7,296-871-1,"Bacopa Monniera Leaf Powder is the powder obtained from the dried, ground leaves of Bacopa monniera L., Scrophulariaceae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),27,1,1,Non
54800,BACTRIS GASIPAES FRUIT JUICE,,,,,"Bactris Gasipaes Fruit Juice is the juice expressed from the fruit Bactris gasipaes, Palmaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010,Soin capillaire,Botanique,Moyenne (26-50),28,2,1,Non
82840,BALIOSPERMUM MONTANUM ROOT POWDER,,,,,"Baliospermum Montanum Root Powder is the powder obtained from the dried, ground roots of Baliospermum montanum, Euphorbiaceae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),33,1,1,Non
54812,BAPTISIA TINCTORIA ROOT,,,84775-46-2,283-875-3,"Baptisia Tinctoria Root is a plant material derived from the roots of the Wild Indigo, Baptisia tinctoria, Leguminosae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Courte (16-25),23,1,1,Non
82739,BERBERIS ARISTATA ROOT POWDER,,,,,"Berberis Aristata Root Powder is the powder obtained from the dried, ground roots of Berberis aristata, Berberidaceae",,SKIN CONDITIONING,15/10/2010,Autre,Botanique,Moyenne (26-50),29,1,1,Non
