parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
87332,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/LAVENDER/THYMUS SERPILLUM/CYMBOPOGON CITRATUS/PEPPERMINT/MELISSA OFFICINALIS/CHAMOMILLA RECUTITA FLOWER/BERGAMOT LEAF/SPEARMINT/ROSEMARY FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,9,13,MELISSA OFFICINALIS,Molécule chimique,Courte (16-25),19,Émollient
87332,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/LAVENDER/THYMUS SERPILLUM/CYMBOPOGON CITRATUS/PEPPERMINT/MELISSA OFFICINALIS/CHAMOMILLA RECUTITA FLOWER/BERGAMOT LEAF/SPEARMINT/ROSEMARY FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,10,13,CHAMOMILLA RECUTITA FLOWER,Botanique,Moyenne (26-50),26,Émollient
87332,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/LAVENDER/THYMUS SERPILLUM/CYMBOPOGON CITRATUS/PEPPERMINT/MELISSA OFFICINALIS/CHAMOMILLA RECUTITA FLOWER/BERGAMOT LEAF/SPEARMINT/ROSEMARY FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,11,13,BERGAMOT LEAF,Botanique,Très courte (≤15),13,Émollient
87332,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/LAVENDER/THYMUS SERPILLUM/CYMBOPOGON CITRATUS/PEPPERMINT/MELISSA OFFICINALIS/CHAMOMILLA RECUTITA FLOWER/BERGAMOT LEAF/SPEARMINT/ROSEMARY FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,12,13,SPEARMINT,Molécule chimique,Très courte (≤15),9,Émollient
87332,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/LAVENDER/THYMUS SERPILLUM/CYMBOPOGON CITRATUS/PEPPERMINT/MELISSA OFFICINALIS/CHAMOMILLA RECUTITA FLOWER/BERGAMOT LEAF/SPEARMINT/ROSEMARY FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,13,13,ROSEMARY FERMENT FILTRATE,Molécule chimique,Courte (16-25),25,Émollient
87534,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,7,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Émollient
87534,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,7,RHODOPSEUDOMONAS,Molécule chimique,Courte (16-25),16,Émollient
87534,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,3,7,SACCHAROMYCES,Molécule chimique,Très courte (≤15),13,Émollient
87534,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,4,7,MOLASSES,Molécule chimique,Très courte (≤15),8,Émollient
87534,LACTOBACILLUS/RHODOPSEUDOMONAS/SACCHAROMYCES/MOLASSES/YEAST EXTRACT/MAGNESIUM CHLORIDE/CALCIUM CARBONATE FERMENT FILTRATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,5,7,YEAST EXTRACT,Extrait,Très courte (≤15),13,Émollient
