ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
91452,METHIONYL SH-OLIGOPEPTIDE-75 SH-OLIGOPEPTIDE-2,,,,,"Methionyl sh-Oligopeptide-75 sh-Oligopeptide-2 is a single chain synthetic fusion peptide, produced by fermentation in E. coli. The starting gene is synthesized by the fusion of the gene from sh-Oligopeptide-75 and sh-Oligopeptide-2 with the code for methionine. The fused peptide contains 85 amino acids and consists of the proper sequence of the 20 standard amino acids.",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",27/10/2014,Antioxydant,Peptide,Moyenne (26-50),46,3,1,Non
91451,METHIONYL SH-OLIGOPEPTIDE-75 SH-POLYPEPTIDE-8,,,,,,,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",27/10/2014,Antioxydant,Peptide,Moyenne (26-50),45,3,1,Non
88114,METHOXY PEG-45 THIOCTATE,,,,,Methoxy PEG-45 Thioctate is the organic compound,,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",21/05/2014,Antioxydant,PEG/PPG,Courte (16-25),24,3,1,Non
57958,METHOXY PEG-7 ASCORBIC ACID,,,,,Methylpoly(oxyethylene) ascorbyl ether,,ANTIOXIDANT,15/10/2010,Antioxydant,Acide,Moyenne (26-50),27,1,1,Non
88286,METHOXYCHALCONE,,,959-33-1,,Methoxychalcone is the organic compound,,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING",21/05/2014,Antioxydant,Molécule chimique,Très courte (≤15),15,3,1,Non
87156,METHOXYCINNAMAL,,,1504-74-1,216-131-3,,,ANTIOXIDANT,15/10/2010,Antioxydant,Molécule chimique,Très courte (≤15),15,1,1,Non
89951,METHOXYCINNAMIDOPROPYL/PHENYL POLYSILSESQUIOXANE,,,,,Methoxycinnamidopropyl/Phenyl Polysilsesquioxane is the silicone polymer,,"ANTIOXIDANT, FILM FORMING, SKIN CONDITIONING, SKIN PROTECTING, STABILISING",06/12/2013,Antioxydant,Molécule chimique,Moyenne (26-50),48,5,2,Oui
58036,METHOXYTRIMETHYLPHENYL DIHYDROXYPHENYL PROPANOL,,,,,Methoxytrimethylphenyl Hydroxyphenyl Propanol,,"ANTIOXIDANT, SKIN CONDITIONING",15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),47,2,1,Non
82637,METHYL METHACRYLATE/TRIMETHOXYSILYLPROPYL METHACRYLATE CROSSPOLYMER,,,,,Methyl Methacrylate/Trimethoxysilylpropyl Methacrylate Crosspolymer is a copolymer of methyl methacrylate and trimethoxysilylpropyl methacrylate which is crosslinked with triethoxysilylpropylmethoxycinnamide,,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",15/10/2010,Antioxydant,Polymère,Longue (51-100),67,3,2,Oui
35336,METHYLENE DI-T-BUTYLCRESOL,,,119-47-1,204-327-1,"6,6'-Di-tert-Butyl-2,2'-Methylenedi-p-cresol",,ANTIOXIDANT,15/10/2010,Antioxydant,Molécule chimique,Moyenne (26-50),26,1,1,Non
