ref_no,inci_name,inn_name,ph_eur_name,cas,ec,description,restriction,function,update_date,main_category,matter_type,size_category,name_length,num_functions,num_sources,is_grouped
75438,CUCURBITA PEPO SEED OIL,,,8016-49-7/89998-03-8,-/289-741-0,"Cucurbita Pepo Seed Oil is the oil expressed form the seeds of the Pumpkin, Cucurbita pepo L., Cucurbitaceae",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Courte (16-25),23,2,1,Non
41427,CUMINUM CYMINUM FRUIT OIL,,,84775-51-9/8014-13-9,283-881-6/-,"Cumin Oil. Cuminum Cyminum Fruit Oil is an essential oil obtained from the fruits of the Cumin, Cuminum cyminum L., Umbelliferae","II/358 R1
III/156",PERFUMING,15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),25,1,1,Non
55614,CUMINUM CYMINUM SEED OIL,,,84775-51-9--8014-13-9,283-881-6,"Cuminum Cyminum Seed Oil is the volatile oil expressed form the seeds of the Cumin, Cuminum cyminum L., Umbelliferae",III/156,"MASKING, PERFUMING, TONIC",17/05/2013,Fragrance / Parfum,Huile,Courte (16-25),24,3,1,Non
84026,CUNILA GALIODES FLOWER/LEAF OIL,,,,,Cunila Galioides Flower/Leaf Oil is the volatile oil obtained from the flowers and leaves of Cunila galioides,,MASKING,15/10/2010,Autre,Huile,Moyenne (26-50),31,1,2,Oui
92882,CUNILA GALIOIDES FLOWER/LEAF OIL,,,,,"Cunila Galioides Flower/Leaf Oil is the volatile oil obtained from the flowers and leaves of Cunila galioides, Lamiaceae.",,MASKING,09/07/2015,Autre,Huile,Moyenne (26-50),32,1,2,Oui
90691,CUPHEA LANCEOLATA/VISCOSISSIMA SEED OIL,,,,,Cuphea Lanceolata/Viscosissima Seed Oil is the oil expressed from the seeds of the hybrid of Cuphea lanceolata and Cuphea viscosissima.,,"EMOLLIENT, SKIN CONDITIONING",24/04/2014,Émollient / Conditioning,Huile,Moyenne (26-50),39,2,2,Oui
84028,CUPHEA VISCOSISSIMA SEED OIL,,,91722-53-1,294-452-8,Cuphea Viscosissima Seed Oil is the oil expressed from the seeds of Cuphea viscosissima,,"EMOLLIENT, HAIR CONDITIONING, SOLVENT",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),28,3,1,Non
39416,CUPRESSUS FUNEBRIS WOOD OIL,,,85085-29-6,285-360-9,"Cupressus Funebris Wood Oil is an essential oil obtained from the twigs of the Cypress, Cupressus funebris, Cupressaceae. Syn. Chinese Cedarwood oil",,PERFUMING,02/03/2011,Fragrance / Parfum,Huile,Moyenne (26-50),27,1,1,Non
90169,CUPRESSUS NOOTKATENSIS WOOD OIL,,,1069136-34-0,,Cupressus Nootkatensis Wood Oil is the volatile oil derived from the wood of Cupressus nootkatensis.,,MASKING,06/12/2013,Autre,Huile,Moyenne (26-50),31,1,1,Non
83058,CUPRESSUS SEMPERVIRENS LEAF OIL,,,84696-07-1,283-626-9,"Cypress Oil. Cupressus Sempervirens Leaf Oil is the volatile oil obtained from the leaves of the Cypress, Cupressus sempervirens L., Pinaceae",III/123,"MASKING, PERFUMING, SKIN CONDITIONING",15/10/2010,Fragrance / Parfum,Huile,Moyenne (26-50),31,3,1,Non
55619,CUPRESSUS SEMPERVIRENS LEAF/NUT/STEM OIL,,,84696-07-1/8013-86-3,283-626-9/-,"Cupressus Sempervirens Leaf/Nut/Stem Oil is a natural oil obtained from the leaves, nuts and stems the Cypress, Cupressus sempervirens L., Pinaceae",III/123,"EMOLLIENT, MASKING, SKIN CONDITIONING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),40,3,3,Oui
83473,CUPRESSUS SEMPERVIRENS OIL,,,84696-07-1/8013-86-3,283-626-9/-,"Cupressus Sempervirens Oil is the volatile oil obtained from the whole plant, the Cypress, Cupressus sempervirens L., Pinaceae",III/123,MASKING,15/10/2010,Autre,Huile,Moyenne (26-50),26,1,1,Non
90720,CURCUMA ANGUSTIFOLIA RHIZOME OIL,,,,,"Curcuma Angustifolia Rhizome Oil is the volatile oil obtained from the rhizomes of Curcuma angustifolia, Zingiberaceae.",,SKIN PROTECTING,19/06/2013,Autre,Huile,Moyenne (26-50),32,1,1,Non
82420,CURCUMA AROMATICA ROOT OIL,,,94349-73-2,305-191-7,"Curcuma Aromatica Root Oil is the volatile oil obtained from the roots of Curcuma aromatica, Zingiberaceae",,SKIN CONDITIONING,15/10/2010,Autre,Huile,Moyenne (26-50),26,1,1,Non
75442,CURCUMA LONGA ROOT OIL,,,84775-52-0,283-882-1,"Curcuma Longa Root Oil is the oil obtained from the root of the Turmeric, Curcuma longa L., Zingiberaceae",,"PERFUMING, SKIN CONDITIONING",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),22,2,1,Non
86876,CURCUMA WENYUJIN RHIZOME OIL,,,,,"Curcuma Wenyujin Rhizome Oil is the volatile oil obtained from the rhizomes of Curcuma wenyujin, Zingiberaceae",,"EMOLLIENT, SKIN PROTECTING",15/10/2010,Émollient / Conditioning,Huile,Moyenne (26-50),28,2,1,Non
55535,CURCUMA ZEDOARIA ROOT OIL,,,84961-49-9,284-637-1,"Curcuma Zedoaria Root Oil is the oil obtained from the rhizomes of the Zedoary, Curcuma zedoaria, Zingiberaceae",,"PERFUMING, SKIN CONDITIONING",15/10/2010,Fragrance / Parfum,Huile,Courte (16-25),25,2,1,Non
39457,CYMBOPOGON CITRATUS LEAF OIL,,,89998-14-1,289-752-0,"Lemon Grass Oil; Indian Verbena Oil; Indian Melissa Oil. Cymbopogon Citratus Leaf Oil is an essential oil obtained from the leaves of the Lemon Grass, Cymbopogon citratus, Poaceae. It contains citral (75-85%), methylheptenone, citronellal, geraniol, limonene",,"MASKING, PERFUMING",15/10/2010,Fragrance / Parfum,Huile,Moyenne (26-50),28,2,1,Non
39459,CYMBOPOGON FLEXUOSUS HERB OIL,,,91844-92-7,295-161-9,"Lemon Grass Oil; Indian Verbena Oil; Indian Melissa Oil. Cymbopogon Flexuosus Herb Oil is an essential oil obtained from the herbs of the Lemon Grass, Cymbopogon flexuosus, Gramineae. It contains citral (75-85%), methylheptenone, citronellal, geraniol, limonene",,PERFUMING,02/03/2011,Fragrance / Parfum,Huile,Moyenne (26-50),29,1,1,Non
